#,Nombre Requisito,Fed - Estatal - Municipal,Ley - reglamento,Nombre,Artículo,Fracción y/o Inciso
0,No aplica,No disponible,No aplica,No aplica,No aplica,No aplica
720,"Estudio Hidrológico Hidraúlico (Alto y Muy Alto riesgo, tipo 4c o según sea el caso) realizados por perito registrado oficialmente, únicamente para las zonas consideradas como alto y muy alto riesgo, según el Atlas de Riesgo del Estado, con sus propuestas de mitigación Deberá presentar el visto bueno del consejo geológico e hidrometeorológico (ante la autoridad estatal presentará un dictamen de las medidas de mitigación aplicables, elaborado por un profesionista especialista en el tema o un técnico autorizado por el Consejo Técnico Geológico o Hidrometeorológico constituido para ese efecto Dichos estudios técnicos deberán ser avalados por un director responsable de obra Quien deberá presentar carta responsiva y entregar copia de la cedula profesional que lo acredite contar con carrera a fin.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
721,Ficha Ambiental (firmada por el propietario).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
722,Identificación oficial de (o los) propietario(s) con firma y fotografía.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
723,Identificación oficial del (o los) gestor (es) y/o apoderado(s) con firma y fotografía (según sea el caso).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
724,Mecánica de Suelos (debidamente firmado).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
725,"Memoria de cálculo Estructural y Plano Estructurales (debidamente firmado) (basado en un método de análisis, que evalúe las cargas actuantes y la respuesta de la estructura, la cimentación y el suelo que la sustenta; debiendo considerar las cargas vivas del uso específico, en los términos a que se refiere el artículo 104 del reglamento para las construcciones (en caso de tratarse de una regularización).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
726,Pago de derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
727,"plano de proyecto arquitectónico, estructural y de instalaciones (Elaborado de acuerdo al contenido y forma del mismo).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
728,Póliza de Seguro de Responsabilidad Civil.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
729,"Secuencia de Demolición , firmada por el Director Responsable de la Obra En el que se indicará el orden aproximado en que se demolerán los elementos de la construcción (según sea el caso).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
730,"Si el (los) predio (s) se ubica en zona de riesgo se deberá presentar el dictamen de protección civil en el que la autoridad rinda su opinión y exprese los antecedentes que obren sus archivos en relación con la ubicación de la zona en donde se localiza el predio y en su caso, queden facultados para ordenar la repetición o elaboración de nuevos estudios o inclusive presentar los propios de considerar que existe riesgo para la comunidad.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
731,Solicitud oficial correspondiente (Firmada por el propietario y/o representante legal) y Director Responsable de la Obra.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
732,Vo Bo En materia de Protección civil o Patronato de Bomberos (Municipal o Estatal según corresponda).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
733,Vo Bo INAH; INBA; Barrio Antiguo y/o de la Junta de Protección y conservación del Paseo Santa Lucía (en caso de requerirse).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
734,"Plano del proyecto arquitectónico, estructural y de instalaciones (Elaborado de acuerdo al contenido y forma del mismo).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
735,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (Copia simple o copia certificada, según sea el caso de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
736,Acreditar la propiedad o posesión del predio (El o los documentos deberán estar inscritos en el Reglamento Público de la Propiedad o en el Instituto Registral y Catastral del Estado) (Una copia simple de cada documento).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
737,"Al momento de obtener el vobo De toda la documentación, se deberá presentar toda la papelería en original y escaneada en un CD para su folio de ingreso Se deberá presentar los documentos en formato digital (CD).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
738,Alineamiento Vial.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
739,"Antecedentes de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso acuerdo y carátula) (copia simple en caso de existir).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
740,Carta poder simple.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
741,Carta Responsiva y copia de cédula profesional del Director Responsable de la Obra cada uno de los Asesores del Estudio elaborado.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
742,Certificado de gravamen y autorización del acreedor o de libertad de gravamen.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
743,Certificado de libertado de Gravamen (90 días de vigencia de la fecha de expedición).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
744,"Comprobante de domicilio para recibir notificaciones, preferentemente en el municipio de Monterrey.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
745,Comprobante del pago del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
746,"Constancia de Terminación de obra, según sea el caso:.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
747,Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
748,"En caso de tratarse de construcción y/o regularizaciones en áreas municipales de casetas de vigilancia y/o amenidades, deberá presentar Vo Bo de Patrimonio Municipal.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
749,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante Legal).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
750,Estudio de impacto ambiental y resolutivo del MIA (Original rubricado en caso de ser necesario).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
751,Estudio de Movilidad (Original rubricado en caso de ser necesario).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
752,"Estudio Geofísico, Geológico, Estabilidad de taludes (Alto y Muy Alto riesgo o según sea el caso) Con sus propuestas de mitigación, visto bueno del consejo geológico e hidrometeorológico, los cuales deberán ser avalados por un director responsable de obra Quien deberá presentar carta responsiva y entregar copia de la cédula profesional que lo acredite contar con carrera fin (Original rubricado en caso de ser necesario)"".",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
753,Estudio Hidrológico Hidráulico (Alto y Muy Alto Riesgo o según sea el caso) (Original rubricado en caso de ser necesario).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
754,Ficha Ambiental (firmado por propietario).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
755,Identificación oficial de (o los) propietario(s) con firma y fotografía.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
756,Identificación oficial del (o los) gestor (es) y/o apoderado(s) con firma y fotografía.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
757,"La garantía hipotecaria o fianza suficiente a favor del Municipio, será por un monto equivalente a las obras faltantes más un 20% veinte por ciento La duración de esta garantía, será conforme al programa de obras por ejecutar.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
758,"Memoria de Cálculo Estructural y Planos Estructurales Presentar estudio de revisión estructural del inmueble, basado en un método de análisis, que evalué las cargas actuantes y la respuesta de la estructura, la cimentación y el suelo que la sustenta; debiendo considerar las cargas vivas del uso específico, en los términos a que se refiere el artículo 104 del reglamento para las construcciones (Original Firmado).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
759,Pago de derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
760,Póliza de Seguro de Responsabilidad Civil (al ingresar el trámite).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
761,Programa y presupuesto de obra.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
762,Programa y presupuesto de obra.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
763,"Proposición de garantía hipotecaria o fianza suficiente a favor del Municipio, la cual deberá redactarse en la forma y términos que sea solicitado por dicha autoridad, para garantizar el cumplimiento de sus obligaciones, en el caso de que no se hayan concluido las obras autorizadas en el proyecto ejecutivo arquitectónico.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
764,"Proposición de garantía hipotecaría o fianza suficiente a favor del Municipio, la cual deberá redactarse en la forma y términos que sea solicitado por dicha autoridad, para garantizar el cumplimiento de sus obligaciones, en el caso de que no se hayan concluido las obras autorizadas en el proyecto ejecutivo arquitectónico.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
765,Secuencia de Demolición firmada por el Director Responsable de la Obra En el que se indicará el orden aproximado en que se demolerán los elementos de la construcción (según sea el caso).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
766,"Si el terreno (S) se ubica en zona de riesgo deberá presentar el dictamen de protección civil en el que la autoridad rinda su opinión y exprese los antecedentes que obren en sus archivos en relación con la ubicación de la zona en donde se localiza el predio y en su caso, queden facultados para ordenar la repetición o elaboración de nuevos estudios o inclusive presentar los propios de considerar que existe riesgo para la comunidad (copia de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
767,Solicitud oficial correspondiente (Firmada por el propietario y/o Representante Legal).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
768,Vo Bo En materia de Protección civil o Patronato de Bomberos (Municipal o Estatal según corresponda) (copia simple en caso de ser requerido).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
769,Vo Bo INAH; INBA; Barrio Antiguo y/o de la junta de Protección y conservación del Paseo Santa Lucía (copia simple en caso de ser requerido).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316 y 319,No aplica
770,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada).",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
771,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones(copia simple de cada documento).",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
772,"Antecedente de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso de acuerdo y carátula).",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
773,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
774,"Comprobante de domicilio para oír y recibir notificaciones, preferentemente en el municipio de Monterrey.",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
775,Comprobante del pago del impuesto predial al corriente.,Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
776,Pago de los derechos correspondientes.,Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
777,Póliza de Seguro de Responsabilidad Civil (según su caso) (copia a color).,Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
778,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía y Carta Poder simple.",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
779,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Municipal,Reglamento,"Reglamento de Zonificación y Uso de Suelo del Municipio de Monterrey, Nuevo León.",20,No aplica
780,"Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible, NO imagen de google maps).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
781,Documentos y plano (s) en formato digital (CD).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
782,"En su caso, visto bueno del INAH, INBA, Barrio Antiguo y/o de la junta de Protección y Conservación del Paseo Santa Lucía (según sea el caso).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
783,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
784,"Plano de proyecto del predio en formato oficial y debidamente firmado en original por el propietario o poseedor del predio
(Elaborado de acuerdo al contenido y forma del mismo) (debidamente firmados en original por el propietario y en su caso por el Director Responsable de Obra.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
785,Póliza de Seguro de Responsabilidad Civil.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
786,"Según sea el caso, carta responsiva del Director Responsable de Obra y/o de cada uno de los Asesores del estudio elaborado correspondiente, debidamente firmado.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
787,Solicitud oficial correspondiente (firmada por el propietario y/o Representante Legal) y Director Responsable de la Obra (según su caso).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
788,"Visto bueno en materia de protección civil o Patronato de Bomberos (Municipal o Estatal según corresponda), según sea el caso.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,No aplica
789,Documentos que acrediten que es vecino o residente afectado del predio en el que se estén llevando a cabo los actos de que se trate.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
790,"En su caso, podrá solicitarse la suspensión del acto denunciado, debiendo garantizar mediante fianza a favor de la autoridad municipal, expedida por una institución autorizada para ello, los daños o perjuicios que eventualmente pudiera causar, en caso de que resultara improcedente la denuncia; y.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
791,Escrito dirigido a (Cargo de la persona a quien va dirigido) en el cual la persona que la promueva deberá señalar:.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
792,"La relación de los hechos que se denuncian, señalando las disposiciones jurídicas y legales que se considere estén siendo violadas;.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
793,Los datos que permitan la localización e identificación del inmueble de que se trate;.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
794,"Nombre, domicilio y copia simple de una identificación oficial del denunciante;.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
795,"Nombre, razón social o denominación y domicilio del propietario o usuario del predio afectado o, en su caso, los datos necesarios para su localización e identificación;.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,No aplica
796,"Acuerdo de autorización del proyecto ejecutivo urbanístico y los planos correspondientes, debidamente inscritos en el Instituto Registral y Catastral del Estado de Nuevo León.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
797,Certificado de gravamen y autorización del acreedor o de libertad de gravamen;.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
798,"Constancia expedida por el Estado que acredite el cumplimiento de las aportaciones a que se refiere el artículo 101 de la Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
799,"Constancias del cumplimiento del pago y obligaciones por incorporación a las redes de agua potable y drenaje sanitario, energía eléctrica y movilidad;.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
800,Documento que acredite el pago de las contribuciones correspondientes; (Acta constitutiva inscrita ante la dependencia correspondiente y poder (suficiente para el presente trámite) de representante legal debidamente acreditado.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
801,"Documento que acredite la personalidad con facultades para actos de dominio, de conformidad con la Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
802,"Documento que acredite la personalidad con facultades para actos de dominio, de conformidad con la Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
803,Identificación oficial de todos los propietarios y/o apoderados legales.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
804,Plano de nomenclatura y asignación de números oficiales.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
805,Plano del proyecto de ventas.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
806,Programa y presupuesto de obra.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
807,"Proposición de garantía hipotecaria o fianza suficiente a favor del Municipio la cual deberá redactarse en la forma y términos que sea solicitado por dicha autoridad, para garantizar el cumplimiento de sus obligaciones, en el caso de que no se hayan concluido las obras que se le trazaran en el proyecto ejecutivo urbanístico;.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
808,Solicitud de autorización del proyecto de ventas.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
809,Título que acredite la propiedad del predio.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",269,No aplica
810,Solicitud correspondiente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,No aplica
811,Copia del acuerdo del antecedente inmediato.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
812,Documento o constancia de recepción de obras a cargo de las dependencias operadores de los servicios de infraestructura.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
813,Documento que acredite la personalidad jurídica (acta constitutiva inscrita ante la Dependencia correspondiente y poder suficiente para el presente trámite de representante legal debidamente acreditado).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
814,Identificación oficial de todos los propietarios y/o apoderado.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
815,Pago de los derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
816,Tarjeton del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296 y 298,No aplica
817,Acuerdo de autorización del proyecto de ventas en condominio y planos inscritos en el Instituto Registral y Catastral del Estado de Nuevo León.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
818,Documento o constancia de recepción de obras a cargo de las dependencias u organismos operadores de los servicios de infraestructura.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
819,Documento que acredite la personalidad jurídica (acta constitutiva inscrita ante la dependencia correspondiente y poder suficiente para el presente trámite del representante legal debidamente acreditado).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
820,Identificación oficial de todos los propietarios y/o apoderados.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
821,Pago de los derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
822,Solicitud correspondiente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
823,Tarjetón del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,x
824,"Acreditar el interés que le asiste, y en el caso de representación contar con poder suficiente para tal efecto (copia certificada, según sea el caso).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
825,"Acreditar la propiedad o posesión del predio (El o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) Si es persona moral, traer acta constitutiva y demás modificaciones a sus estatus sociales (copia de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
826,"Al momento de obtener el visto bueno de toda la documentación, se deberá presentar toda la papelería en original y escaneada en un CD para su folio de ingreso Se deberá presentar los documentos en formato digital (CD).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
827,Carta poder simple.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
828,Comprobante del pago del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
829,Copia del acuerdo de autorización del proyecto de ventas en condominio y planos inscritos en el Instituto Registral y Catastral del Estado de Nuevo León.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
830,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o representante legal).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,X
